Sample_Name,Serial_Number,Location,Site,Core,Dive,Cylinder,Surface,Depth,Latitude_DDM,Longitude_DDM,Latitude_deg,Longitude_deg,Latitude_rel_deg,Longitude_rel_deg,Latitude_rel_cm,Longitude_rel_cm,Horizon,horizon1,horizon2,AverageDepth,Sulfide,Ferrozine,d13C_DIC,DIC,pH,temp_10cmbsf,temp_15cmbsf,temp_30cmbsf,Fluoride,Acetate,Formate,Chloride,Bromide,Nitrate,Sulfate,Thiosulfate,Phosphate,Lithium,Sodium,Ammonium,Potassium,Magnesium,Calcium
FK181031-11703,11703,Auka,Diane's vent,PC5,S0193,PC5_S0193,blue mat,3656.64,23 57.28961 N,108 51.78176 W,23.95482683,-108.8630293,0.01379883,0.000214,153167.013,2375.4,0_1,0,1,0.5,1,,,,7.3,,,,0.011,0.0084,0.0067,496.2718,0.8834,0.0377,16.3847,0.1458,,0.0041,365.4783,1.4723,15.4432,48.2874,9.9442
FK181031-11704,11704,Auka,Diane's vent,PC5,S0193,PC5_S0193,blue mat,3656.64,23 57.28961 N,108 51.78176 W,23.95482683,-108.8630293,0.01379883,0.000214,153167.013,2375.4,1_2,1,2,1.5,3.78,,,,7,,,,,,0.0005,506.1756,0.9117,0.0384,8.85,0.244,,0.0082,369.3463,2.6566,18.7816,43.0137,8.8904
FK181031-11705,11705,Auka,Diane's vent,PC5,S0193,PC5_S0193,blue mat,3656.64,23 57.28961 N,108 51.78176 W,23.95482683,-108.8630293,0.01379883,0.000214,153167.013,2375.4,2_3,2,3,2.5,4.4,,,,,,,,,,0.0003,514.5122,0.9289,,7.3256,0.2813,,0.0094,376.7202,3.0836,19.5548,42.234,8.999
FK181031-11706,11706,Auka,Diane's vent,PC5,S0193,PC5_S0193,blue mat,3656.64,23 57.28961 N,108 51.78176 W,23.95482683,-108.8630293,0.01379883,0.000214,153167.013,2375.4,3_4,3,4,3.5,3.25,,,,7,,,,,,,449.938,0.8211,0.0363,6.1904,0.2328,,0.0082,303.8469,2.6713,17.4215,35.6576,9.2249
FK181031-11707,11707,Auka,Diane's vent,PC5,S0193,PC5_S0193,blue mat,3656.64,23 57.28961 N,108 51.78176 W,23.95482683,-108.8630293,0.01379883,0.000214,153167.013,2375.4,4_5,4,5,4.5,3.11,,,,7.1,,,,,,,513.482,0.925,,7.8928,0.1656,,0.0093,377.5113,3.12,19.1705,42.6345,10.004
FK181031-11708,11708,Auka,Diane's vent,PC5,S0193,PC5_S0193,blue mat,3656.64,23 57.28961 N,108 51.78176 W,23.95482683,-108.8630293,0.01379883,0.000214,153167.013,2375.4,5_6,5,6,5.5,2.1,,,,6.9,,,,,,,460.5657,0.9198,,7.131,0.2351,,0.0097,297.9516,2.5289,19.7086,41.8211,9.0542
FK181031-11709,11709,Auka,Diane's vent,PC5,S0193,PC5_S0193,blue mat,3656.64,23 57.28961 N,108 51.78176 W,23.95482683,-108.8630293,0.01379883,0.000214,153167.013,2375.4,6_9,6,9,7.5,4.21,,,,6.8,,,,,,,524.2726,0.9514,,5.9329,0.251,,0.0108,386.6279,3.539,20.6987,41.381,7.565
FK181031-11713,11713,Auka,Diane's vent,PC3,S0193,PC3_S0193,blue mat,3656.64,23 57.28961 N,108 51.78176 W,23.95482683,-108.8630293,0.01379883,0.000214,153167.013,2375.4,0_3,0,3,1.5,,,,,,,,,,,,,,,,,,,,,,,
FK181031-11721,11721,Auka,Diane's vent,PC7,S0193,PC7_S0193,peach mat,3656.7,23 57.29105 N,108 51.78176 W,23.95485083,-108.8630293,0.01382283,0.000214,153433.413,2375.4,0_1,0,1,0.5,0.38,,,,7,,,,0.0678,0.0421,,553.7947,0.7502,0.7852,31.5193,,,0.0429,467.1487,0.4534,10.8859,50.203,10.775
FK181031-11722,11722,Auka,Diane's vent,PC7,S0193,PC7_S0193,peach mat,3656.7,23 57.29105 N,108 51.78176 W,23.95485083,-108.8630293,0.01382283,0.000214,153433.413,2375.4,1_2,1,2,1.5,0.25,,,,6.9,,,,0.0816,0.4533,,600.4674,0.8874,1.3012,29.9358,,,0.0713,487.6223,0.756,13.1275,57.9441,12.8001
FK181031-11723,11723,Auka,Diane's vent,PC7,S0193,PC7_S0193,peach mat,3656.7,23 57.29105 N,108 51.78176 W,23.95485083,-108.8630293,0.01382283,0.000214,153433.413,2375.4,2_3,2,3,2.5,0.26,,,,7.2,,,,0.0537,0.0253,,602.336,0.8838,0.9564,24.4984,0.0587,,0.1824,487.4183,1.2917,14.0424,53.677,12.2376
FK181031-11724,11724,Auka,Diane's vent,PC7,S0193,PC7_S0193,peach mat,3656.7,23 57.29105 N,108 51.78176 W,23.95485083,-108.8630293,0.01382283,0.000214,153433.413,2375.4,3_4,3,4,3.5,2.18,,,,,,,,,,,612.8478,0.9161,0.304,20.6234,0.221,,0.2993,496.4478,1.7577,15.2035,51.5911,12.6308
FK181031-11725,11725,Auka,Diane's vent,PC7,S0193,PC7_S0193,peach mat,3656.7,23 57.29105 N,108 51.78176 W,23.95485083,-108.8630293,0.01382283,0.000214,153433.413,2375.4,4_5,4,5,4.5,5.45,,,,,,,,,,,618.5182,0.9187,0.0789,10.0629,0.2516,,0.66,499.3256,2.6146,17.5702,43.7716,12.5911
FK181031-11726,11726,Auka,Diane's vent,PC7,S0193,PC7_S0193,peach mat,3656.7,23 57.29105 N,108 51.78176 W,23.95485083,-108.8630293,0.01382283,0.000214,153433.413,2375.4,5_6,5,6,5.5,0.9,,,,,,,,,0.0256,,647.2829,0.9886,,2.4728,0.457,,1.0799,513.3818,3.7169,21.1396,37.9884,9.0988
FK181031-11727,11727,Auka,Diane's vent,PC7,S0193,PC7_S0193,peach mat,3656.7,23 57.29105 N,108 51.78176 W,23.95485083,-108.8630293,0.01382283,0.000214,153433.413,2375.4,6_9,6,9,7.5,7.82,,,,6.8,,,,,,,640.7627,0.9667,,6.4045,0.2162,,0.8631,514.4884,2.873,19.3661,41.3041,13.15
FK181031-11728,11728,Auka,Diane's vent,PC7,S0193,PC7_S0193,peach mat,3656.7,23 57.29105 N,108 51.78176 W,23.95485083,-108.8630293,0.01382283,0.000214,153433.413,2375.4,9_12,9,12,10.5,7.64,,,,6.9,,,,,,,642.2033,0.9904,0.3205,1.2631,0.2547,,1.1744,513.7325,4.2429,22.2625,37.1396,8.1903
FK181031-11729,11729,Auka,Diane's vent,PC7,S0193,PC7_S0193,peach mat,3656.7,23 57.29105 N,108 51.78176 W,23.95485083,-108.8630293,0.01382283,0.000214,153433.413,2375.4,12_15,12,15,13.5,7.7,,,,7,,,,,0.0361,,649.7421,0.9921,,1.3403,0.3577,,1.1916,518.0998,4.1996,22.5604,37.2565,8.3737
FK181031-11730,11730,Auka,Diane's vent,PC7,S0193,PC7_S0193,peach mat,3656.7,23 57.29105 N,108 51.78176 W,23.95485083,-108.8630293,0.01382283,0.000214,153433.413,2375.4,15_18,15,18,16.5,2.89,,,,,,,,,,,641.7595,0.9848,,1.5097,0.2884,,1.1876,518.933,4.2224,22.7067,37.3546,7.7778
FK181031-11732,11732,Auka,unknown,PC1,S0193,PC1_S0193,Gray mat by snail patch,3657.85,23 57.22692 N,108 51.7723 W,23.953782,-108.8628717,0.012754,0.0003716,141569.4,4124.76,0_3,0,3,1.5,,,,,,,,10.99,,,,,,,,,,,,,,,
FK181031-11735,11735,Auka,unknown,PC1,S0193,PC1_S0193,Gray mat by snail patch,3657.85,23 57.22692 N,108 51.7723 W,23.953782,-108.8628717,0.012754,0.0003716,141569.4,4124.76,10_13,10,13,11.5,,,,,,,,10.99,,,,,,,,,,,,,,,
FK181031-11737,11737,Auka,unknown,PC2,S0193,PC2_S0193,Gray mat by snail patch,3657.85,23 57.22692 N,108 51.7723 W,23.953782,-108.8628717,0.012754,0.0003716,141569.4,4124.76,0_3,0,3,1.5,4.91,,,,,,,10.99,0.0093,,,438.7982,0.8098,0.0376,17.3937,0.322,,0.0083,282.0284,2.3238,15.8434,44.2195,12.248
FK181031-11738,11738,Auka,unknown,PC2,S0193,PC2_S0193,Gray mat by snail patch,3657.85,23 57.22692 N,108 51.7723 W,23.953782,-108.8628717,0.012754,0.0003716,141569.4,4124.76,3_6,3,6,4.5,4.36,,,,,,,10.99,0.0224,,,496.8764,0.9022,0.0367,15.6938,0.2391,,0.014,352.7064,3.8765,19.9567,45.1196,12.714
FK181031-11739,11739,Auka,unknown,PC2,S0193,PC2_S0193,Gray mat by snail patch,3657.85,23 57.22692 N,108 51.7723 W,23.953782,-108.8628717,0.012754,0.0003716,141569.4,4124.76,6_9,6,9,7.5,4.57,,,,6.8,,,10.99,0.0089,,0.0003,487.5317,0.8969,,13.1993,0.4381,,0.0173,339.4359,4.635,21.3896,41.8845,13.6984
FK181031-11740,11740,Auka,unknown,PC2,S0193,PC2_S0193,Gray mat by snail patch,3657.85,23 57.22692 N,108 51.7723 W,23.953782,-108.8628717,0.012754,0.0003716,141569.4,4124.76,9_12,9,12,10.5,1.15,,,,7.14,,,10.99,,,0.0005,458.0254,0.8546,0.0411,11.4029,0.2148,,0.0175,301.5057,4.5982,20.6715,38.0263,12.3914
FK181031-11745,11745,Auka,Z vent,PC4,S0194,PC4_S0194,Blue/white flocky mat,3677.99,23 57.41007 N,108 51.76061 W,23.9568345,-108.8626768,0.0158065,0.0005665,175452.15,6288.15,0_1,0,1,0.5,4.29,,,,7.1,,,,0.076,,,633.2228,0.9361,,21.2351,0.3735,,0.5031,520.0877,1.8261,16.8643,53.0332,12.9922
FK181031-11746,11746,Auka,Z vent,PC4,S0194,PC4_S0194,Blue/white flocky mat,3677.99,23 57.41007 N,108 51.76061 W,23.9568345,-108.8626768,0.0158065,0.0005665,175452.15,6288.15,1_2,1,2,1.5,5.89,,,,,,,,0.0711,,,621.6225,0.9337,,17.6924,0.5215,,0.6817,514.6506,2.3603,18.2605,50.2191,13.1419
