Serial_Number,Location,Region,Site,Core,Dive,Cylinder,Notes,Replicate,Amendment,Horizon,start_depth,final_depth,auv_depth,Heading,Latitude_deg,Longitude_deg,Latitude_rel_deg,Longitude_rel_deg,Latitude_rel_cm,Longitude_rel_cm,Ph,Sodium,Ammonium,Potassium,Magnesium,Calcium,Fluoride,Lactate_Area,Acetate,Chloride,Bromide,Nitrate,Carbonate,Sulfate,Thiosulfate,Fumarate_Area
13807,SMB,Del Mar Seeps,"Del Mar seeps, in frenulate bed",LC74,DR1247,LC74_DR1247,"full geochem, bromobimane, HS film, pyrite",,background,0_3,0,1,1023,256,32.904183,-117.782608,0,0.885732,0,9831625.2,7.5,417.3378,0.0712,11.2262,55.5668,11.259,0.0179,,,473.7836,0.8164,0.035,0.2364,27.3359,,
13807,SMB,Del Mar Seeps,"Del Mar seeps, in frenulate bed",LC74,DR1247,LC74_DR1247,"full geochem, bromobimane, HS film, pyrite",,background,0_3,1,2,1023,256,32.904183,-117.782608,0,0.885732,0,9831625.2,7.5,417.3378,0.0712,11.2262,55.5668,11.259,0.0179,,,473.7836,0.8164,0.035,0.2364,27.3359,,
13807,SMB,Del Mar Seeps,"Del Mar seeps, in frenulate bed",LC74,DR1247,LC74_DR1247,"full geochem, bromobimane, HS film, pyrite",,background,0_3,2,3,1023,256,32.904183,-117.782608,0,0.885732,0,9831625.2,7.5,417.3378,0.0712,11.2262,55.5668,11.259,0.0179,,,473.7836,0.8164,0.035,0.2364,27.3359,,
13808,SMB,Del Mar Seeps,"Del Mar seeps, in frenulate bed",LC74,DR1247,LC74_DR1247,"full geochem, bromobimane, HS film, pyrite",,background,3_6,3,4,1023,256,32.904183,-117.782608,0,0.885732,0,9831625.2,7.5,416.7036,0.0835,11.5684,55.4093,11.4353,0.0156,,,473.2176,0.8162,,0.2429,26.9252,0.0201,
13808,SMB,Del Mar Seeps,"Del Mar seeps, in frenulate bed",LC74,DR1247,LC74_DR1247,"full geochem, bromobimane, HS film, pyrite",,background,3_6,4,5,1023,256,32.904183,-117.782608,0,0.885732,0,9831625.2,7.5,416.7036,0.0835,11.5684,55.4093,11.4353,0.0156,,,473.2176,0.8162,,0.2429,26.9252,0.0201,
13808,SMB,Del Mar Seeps,"Del Mar seeps, in frenulate bed",LC74,DR1247,LC74_DR1247,"full geochem, bromobimane, HS film, pyrite",,background,3_6,5,6,1023,256,32.904183,-117.782608,0,0.885732,0,9831625.2,7.5,416.7036,0.0835,11.5684,55.4093,11.4353,0.0156,,,473.2176,0.8162,,0.2429,26.9252,0.0201,
13809,SMB,Del Mar Seeps,"Del Mar seeps, in frenulate bed",LC74,DR1247,LC74_DR1247,"full geochem, bromobimane, HS film, pyrite",,background,6_9,6,7,1023,256,32.904183,-117.782608,0,0.885732,0,9831625.2,7.6,418.4188,0.0987,11.9305,55.2541,11.2543,0.0126,,,479.7474,0.8251,,0.295,26.3495,0.0468,0.0017
13809,SMB,Del Mar Seeps,"Del Mar seeps, in frenulate bed",LC74,DR1247,LC74_DR1247,"full geochem, bromobimane, HS film, pyrite",,background,6_9,7,8,1023,256,32.904183,-117.782608,0,0.885732,0,9831625.2,7.6,418.4188,0.0987,11.9305,55.2541,11.2543,0.0126,,,479.7474,0.8251,,0.295,26.3495,0.0468,0.0017
13809,SMB,Del Mar Seeps,"Del Mar seeps, in frenulate bed",LC74,DR1247,LC74_DR1247,"full geochem, bromobimane, HS film, pyrite",,background,6_9,8,9,1023,256,32.904183,-117.782608,0,0.885732,0,9831625.2,7.6,418.4188,0.0987,11.9305,55.2541,11.2543,0.0126,,,479.7474,0.8251,,0.295,26.3495,0.0468,0.0017
13810,SMB,Del Mar Seeps,"Del Mar seeps, in frenulate bed",LC74,DR1247,LC74_DR1247,"full geochem, bromobimane, HS film, pyrite",,background,9_12,9,10,1023,256,32.904183,-117.782608,0,0.885732,0,9831625.2,7.8,419.5299,0.0983,11.9352,55.3576,11.2219,0.0073,,,475.5722,0.8185,,0.287,25.9625,0.0584,0.0032
