X,Y,Z,Sulfide,Sulfate,Archaea;__Euryarchaeota;__Methanomicrobia;__ANME_1;__f;__g,Archaea;__Euryarchaeota;__Methanomicrobia;__Methanosarcinales;__ANME_2c;__g,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobacteraceae;__SEEP_SRB1,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobulbaceae;__SEEP_SRB2,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobulbaceae;__SEEP_SRB4,Sample_Name,Cylinder,Latitude_deg,Longitude_deg,Latitude_rel_cm,Longitude_rel_cm,Horizon,sum_abundance,observed,dist_to_nearest,xyz_of_nearest
0,0,0,,,,,,,,,,,,,,,,0,20.0,"(20, 0, 0)"
0,0,1,,,,,,,,,,,,,,,,0,20.0,"(20, 0, 1)"
0,0,2,,,,,,,,,,,,,,,,0,20.0,"(20, 0, 2)"
0,0,3,,,,,,,,,,,,,,,,0,20.024984394500787,"(20, 0, 2)"
0,0,4,,,,,,,,,,,,,,,,0,20.09975124224178,"(20, 0, 2)"
0,0,5,,,,,,,,,,,,,,,,0,20.223748416156685,"(20, 0, 2)"
0,0,6,,,,,,,,,,,,,,,,0,20.396078054371138,"(20, 0, 2)"
0,0,7,,,,,,,,,,,,,,,,0,20.615528128088304,"(20, 0, 2)"
0,0,8,,,,,,,,,,,,,,,,0,20.8806130178211,"(20, 0, 2)"
0,0,9,,,,,,,,,,,,,,,,0,21.18962010041709,"(20, 0, 2)"
0,0,10,,,,,,,,,,,,,,,,0,21.540659228538015,"(20, 0, 2)"
0,0,11,,,,,,,,,,,,,,,,0,21.93171219946131,"(20, 0, 2)"
0,0,12,,,,,,,,,,,,,,,,0,22.360679774997898,"(20, 0, 2)"
0,0,13,,,,,,,,,,,,,,,,0,22.825424421026653,"(20, 0, 2)"
0,10,0,,,,,,,,,,,,,,,,0,22.360679774997898,"(20, 0, 0)"
0,10,1,,,,,,,,,,,,,,,,0,22.360679774997898,"(20, 0, 1)"
0,10,2,,,,,,,,,,,,,,,,0,22.360679774997898,"(20, 0, 2)"
0,10,3,,,,,,,,,,,,,,,,0,22.38302928559939,"(20, 0, 2)"
0,10,4,,,,,,,,,,,,,,,,0,22.44994432064365,"(20, 0, 2)"
0,10,5,,,,,,,,,,,,,,,,0,22.561028345356956,"(20, 0, 2)"
0,10,6,,,,,,,,,,,,,,,,0,22.715633383201094,"(20, 0, 2)"
0,10,7,,,,,,,,,,,,,,,,0,22.9128784747792,"(20, 0, 2)"
0,10,8,,,,,,,,,,,,,,,,0,23.15167380558045,"(20, 0, 2)"
0,10,9,,,,,,,,,,,,,,,,0,23.430749027719962,"(20, 0, 2)"
0,10,10,,,,,,,,,,,,,,,,0,23.748684174075834,"(20, 0, 2)"
0,10,11,,,,,,,,,,,,,,,,0,24.1039415863879,"(20, 0, 2)"
0,10,12,,,,,,,,,,,,,,,,0,24.49489742783178,"(20, 0, 2)"
0,10,13,,,,,,,,,,,,,,,,0,24.919871588754223,"(20, 0, 2)"
0,20,0,,,,,,,,,,,,,,,,0,28.284271247461902,"(20, 0, 0)"
0,20,1,,,,,,,,,,,,,,,,0,28.284271247461902,"(20, 0, 1)"
0,20,2,,,,,,,,,,,,,,,,0,28.284271247461902,"(20, 0, 2)"
0,20,3,,,,,,,,,,,,,,,,0,28.30194339616981,"(20, 0, 2)"
0,20,4,,,,,,,,,,,,,,,,0,28.35489375751565,"(20, 0, 2)"
0,20,5,,,,,,,,,,,,,,,,0,28.442925306655784,"(20, 0, 2)"
0,20,6,,,,,,,,,,,,,,,,0,28.5657137141714,"(20, 0, 2)"
0,20,7,,,,,,,,,,,,,,,,0,28.722813232690143,"(20, 0, 2)"
0,20,8,,,,,,,,,,,,,,,,0,28.91366458960192,"(20, 0, 2)"
0,20,9,,,,,,,,,,,,,,,,0,29.13760456866693,"(20, 0, 2)"
0,20,10,,,,,,,,,,,,,,,,0,29.393876913398138,"(20, 0, 2)"
0,20,11,,,,,,,,,,,,,,,,0,29.68164415931166,"(20, 0, 2)"
0,20,12,,,,,,,,,,,,,,,,0,30.0,"(20, 0, 2)"
0,20,13,,,,,,,,,,,,,,,,0,30.347981810987037,"(20, 0, 2)"
0,30,0,,,,,,,,,,,,,,,,0,36.05551275463989,"(20, 0, 0)"
0,30,1,,,,,,,,,,,,,,,,0,36.05551275463989,"(20, 0, 1)"
