Longitude_rel_cm,Latitude_rel_cm,start_depth,Sulfate,observed,dist_to_nearest,coords_of_nearest
10,50,0,11.687210465116271,0,130.0,"(140, 50, 0)"
10,50,1,11.251753925233634,0,130.0,"(140, 50, 1)"
10,50,2,10.924210504201673,0,130.0,"(140, 50, 2)"
10,50,3,10.642513297045094,0,130.00384609695206,"(140, 50, 2)"
10,50,4,10.412384160583938,0,130.01538370516005,"(140, 50, 2)"
10,50,5,10.2980992286115,0,130.034610777285,"(140, 50, 2)"
10,50,6,10.102852100270999,0,130.06152390311286,"(140, 50, 2)"
10,50,7,9.824457210884352,0,130.09611831257686,"(140, 50, 2)"
10,50,8,9.609240748299317,0,130.13838787997952,"(140, 50, 2)"
10,50,9,9.37737684135977,0,130.18832512940628,"(140, 50, 2)"
10,50,10,9.167894156804735,0,130.24592124131948,"(140, 50, 2)"
10,50,11,8.855616192733018,0,130.31116606031887,"(140, 50, 2)"
10,50,12,8.61336618887015,0,130.38404810405297,"(140, 50, 2)"
10,50,13,8.27141798892989,0,130.4645545732633,"(140, 50, 2)"
10,60,0,11.658206262042388,0,130.0,"(10, 190, 0)"
10,60,1,11.181466077441074,0,130.0,"(10, 190, 1)"
10,60,2,10.702607450076801,0,130.0,"(10, 190, 2)"
10,60,3,10.536227117486336,0,130.0,"(10, 190, 3)"
10,60,4,10.139873571428566,0,130.0,"(10, 190, 4)"
10,60,5,9.876457826086956,0,130.0,"(10, 190, 5)"
10,60,6,9.693392770352368,0,130.0,"(10, 190, 6)"
10,60,7,9.418212695547531,0,130.0,"(10, 190, 7)"
10,60,8,9.24955598290598,0,130.0,"(10, 190, 8)"
10,60,9,8.980553620474405,0,130.0,"(10, 190, 9)"
10,60,10,8.635476168831167,0,130.0,"(10, 190, 10)"
10,60,11,8.387424654696135,0,130.0,"(10, 190, 11)"
10,60,12,8.066589248120296,0,130.0,"(10, 190, 12)"
10,60,13,7.838380280528049,0,130.0,"(10, 190, 13)"
10,70,0,11.673559351851846,0,120.0,"(10, 190, 0)"
10,70,1,11.197543800978787,0,120.0,"(10, 190, 1)"
10,70,2,10.811242178362567,0,120.0,"(10, 190, 2)"
10,70,3,10.508181082887697,0,120.0,"(10, 190, 3)"
10,70,4,10.280456032338302,0,120.0,"(10, 190, 4)"
10,70,5,9.95029153661464,0,120.0,"(10, 190, 5)"
10,70,6,9.745461578947365,0,120.0,"(10, 190, 6)"
10,70,7,9.408739476744184,0,120.0,"(10, 190, 7)"
10,70,8,9.240603333333329,0,120.0,"(10, 190, 8)"
10,70,9,8.92935318509615,0,120.0,"(10, 190, 9)"
10,70,10,8.71586639344262,0,120.0,"(10, 190, 10)"
10,70,11,8.399491271989177,0,120.0,"(10, 190, 11)"
10,70,12,8.118799781021897,0,120.0,"(10, 190, 12)"
10,70,13,7.826505707395495,0,120.0,"(10, 190, 13)"
10,80,0,11.655413884156728,0,110.0,"(10, 190, 0)"
10,80,1,11.121879037037035,0,110.0,"(10, 190, 1)"
10,80,2,10.698987681159418,0,110.0,"(10, 190, 2)"
10,80,3,10.324116566265042,0,110.0,"(10, 190, 3)"
10,80,4,9.912478676470561,0,110.0,"(10, 190, 4)"
10,80,5,9.613899088960306,0,110.0,"(10, 190, 5)"
10,80,6,9.219068999999976,0,110.0,"(10, 190, 6)"
10,80,7,9.007911822916645,0,110.0,"(10, 190, 7)"
10,80,8,8.681643480546793,0,110.0,"(10, 190, 8)"
10,80,9,8.448200161812291,0,110.0,"(10, 190, 9)"
10,80,10,8.080186045197737,0,110.0,"(10, 190, 10)"
10,80,11,7.830784842995172,0,110.0,"(10, 190, 11)"
10,80,12,7.558514822134383,0,110.0,"(10, 190, 12)"
10,80,13,7.360150578871197,0,110.0,"(10, 190, 13)"
10,90,0,11.436457698675492,0,100.0,"(10, 190, 0)"
10,90,1,10.914239404934683,0,100.0,"(10, 190, 1)"
10,90,2,10.511857667525769,0,100.0,"(10, 190, 2)"
10,90,3,10.134349763872473,0,100.0,"(10, 190, 3)"
10,90,4,9.86966599344974,0,100.0,"(10, 190, 4)"
10,90,5,9.503539363920709,0,100.0,"(10, 190, 5)"
10,90,6,9.226548994974829,0,100.0,"(10, 190, 6)"
10,90,7,8.877130842527556,0,100.0,"(10, 190, 7)"
10,90,8,8.638974136178847,0,100.0,"(10, 190, 8)"
10,90,9,8.274231322140604,0,100.0,"(10, 190, 9)"
10,90,10,8.023554861878447,0,100.0,"(10, 190, 10)"
10,90,11,7.71742690023753,0,100.0,"(10, 190, 11)"
