Longitude_rel_cm,Latitude_rel_cm,start_depth,Sulfate,observed,dist_to_nearest,coords_of_nearest
10,50,0,21.0565,0,130.0,"(140, 50, 0)"
10,50,1,14.4136,0,130.0,"(140, 50, 1)"
10,50,2,15.9546,0,130.0,"(140, 50, 2)"
10,50,3,15.9546,0,130.00384609695206,"(140, 50, 2)"
10,50,4,15.9546,0,130.01538370516005,"(140, 50, 2)"
10,50,5,15.9546,0,130.034610777285,"(140, 50, 2)"
10,50,6,15.9546,0,130.06152390311286,"(140, 50, 2)"
10,50,7,15.9546,0,130.09611831257686,"(140, 50, 2)"
10,50,8,15.9546,0,130.13838787997952,"(140, 50, 2)"
10,50,9,15.9546,0,130.18832512940628,"(140, 50, 2)"
10,50,10,15.9546,0,130.24592124131948,"(140, 50, 2)"
10,50,11,15.9546,0,130.31116606031887,"(140, 50, 2)"
10,50,12,15.9546,0,130.38404810405297,"(140, 50, 2)"
10,50,13,15.9546,0,130.4645545732633,"(140, 50, 2)"
10,60,0,20.5577,0,130.0,"(10, 190, 0)"
10,60,1,18.7972,0,130.0,"(10, 190, 1)"
10,60,2,14.4674,0,130.0,"(10, 190, 2)"
10,60,3,5.9476,0,130.0,"(10, 190, 3)"
10,60,4,2.7237,0,130.0,"(10, 190, 4)"
10,60,5,2.8808,0,130.0,"(10, 190, 5)"
10,60,6,2.8808,0,130.0,"(10, 190, 6)"
10,60,7,2.8808,0,130.0,"(10, 190, 7)"
10,60,8,0.7051,0,130.0,"(10, 190, 8)"
10,60,9,0.7051,0,130.0,"(10, 190, 9)"
10,60,10,0.7051,0,130.0,"(10, 190, 10)"
10,60,11,2.0148,0,130.0,"(10, 190, 11)"
10,60,12,2.0148,0,130.0,"(10, 190, 12)"
10,60,13,2.0148,0,130.0,"(10, 190, 13)"
10,70,0,20.5577,0,120.0,"(10, 190, 0)"
10,70,1,18.7972,0,120.0,"(10, 190, 1)"
10,70,2,14.4674,0,120.0,"(10, 190, 2)"
10,70,3,5.9476,0,120.0,"(10, 190, 3)"
10,70,4,2.7237,0,120.0,"(10, 190, 4)"
10,70,5,2.8808,0,120.0,"(10, 190, 5)"
10,70,6,2.8808,0,120.0,"(10, 190, 6)"
10,70,7,2.8808,0,120.0,"(10, 190, 7)"
10,70,8,0.7051,0,120.0,"(10, 190, 8)"
10,70,9,0.7051,0,120.0,"(10, 190, 9)"
10,70,10,0.7051,0,120.0,"(10, 190, 10)"
