X,Y,Z,Sulfide,Sulfate,Archaea;__Euryarchaeota;__Methanomicrobia;__ANME_1;__f;__g,Archaea;__Euryarchaeota;__Methanomicrobia;__Methanosarcinales;__ANME_2c;__g,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobacteraceae;__SEEP_SRB1,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobulbaceae;__SEEP_SRB2,Bacteria;__Proteobacteria;__Deltaproteobacteria;__Desulfobacterales;__Desulfobulbaceae;__SEEP_SRB4,Sample_Name,Cylinder,Latitude_deg,Longitude_deg,Latitude_rel_cm,Longitude_rel_cm,Horizon,sum_abundance,observed,dist_to_nearest,xyz_of_nearest
0,0,0,,,,,,,,,,,,,,,,0,30.0,"(30, 0, 0)"
0,0,1,,,,,,,,,,,,,,,,0,30.0,"(30, 0, 1)"
0,0,2,,,,,,,,,,,,,,,,0,30.0,"(30, 0, 2)"
0,0,3,,,,,,,,,,,,,,,,0,30.01666203960727,"(30, 0, 2)"
0,0,4,,,,,,,,,,,,,,,,0,30.066592756745816,"(30, 0, 2)"
0,0,5,,,,,,,,,,,,,,,,0,30.14962686336267,"(30, 0, 2)"
0,0,6,,,,,,,,,,,,,,,,0,30.265491900843113,"(30, 0, 2)"
0,0,7,,,,,,,,,,,,,,,,0,30.4138126514911,"(30, 0, 2)"
0,0,8,,,,,,,,,,,,,,,,0,30.59411708155671,"(30, 0, 2)"
0,0,9,,,,,,,,,,,,,,,,0,30.805843601498726,"(30, 0, 2)"
0,0,10,,,,,,,,,,,,,,,,0,31.04834939252005,"(30, 0, 2)"
0,0,11,,,,,,,,,,,,,,,,0,31.32091952673165,"(30, 0, 2)"
0,0,12,,,,,,,,,,,,,,,,0,31.622776601683793,"(30, 0, 2)"
0,0,13,,,,,,,,,,,,,,,,0,31.953090617340916,"(30, 0, 2)"
0,15,0,,,,,,,,,,,,,,,,0,33.54101966249684,"(30, 0, 0)"
0,15,1,,,,,,,,,,,,,,,,0,33.54101966249684,"(30, 0, 1)"
0,15,2,,,,,,,,,,,,,,,,0,33.54101966249684,"(30, 0, 2)"
0,15,3,,,,,,,,,,,,,,,,0,33.555923471125034,"(30, 0, 2)"
0,15,4,,,,,,,,,,,,,,,,0,33.60059523282288,"(30, 0, 2)"
0,15,5,,,,,,,,,,,,,,,,0,33.67491648096547,"(30, 0, 2)"
0,15,6,,,,,,,,,,,,,,,,0,33.77869150810907,"(30, 0, 2)"
0,15,7,,,,,,,,,,,,,,,,0,33.91164991562634,"(30, 0, 2)"
0,15,8,,,,,,,,,,,,,,,,0,34.07345007480164,"(30, 0, 2)"
0,15,9,,,,,,,,,,,,,,,,0,34.26368339802363,"(30, 0, 2)"
0,15,10,,,,,,,,,,,,,,,,0,34.48187929913333,"(30, 0, 2)"
0,15,11,,,,,,,,,,,,,,,,0,34.72751070837067,"(30, 0, 2)"
0,15,12,,,,,,,,,,,,,,,,0,35.0,"(30, 0, 2)"
0,15,13,,,,,,,,,,,,,,,,0,35.298725189445584,"(30, 0, 2)"
0,30,0,,,,,,,,,,,,,,,,0,42.42640687119285,"(30, 0, 0)"
0,30,1,,,,,,,,,,,,,,,,0,42.42640687119285,"(30, 0, 1)"
0,30,2,,,,,,,,,,,,,,,,0,42.42640687119285,"(30, 0, 2)"
0,30,3,,,,,,,,,,,,,,,,0,42.43819034784589,"(30, 0, 2)"
0,30,4,,,,,,,,,,,,,,,,0,42.473521163190604,"(30, 0, 2)"
0,30,5,,,,,,,,,,,,,,,,0,42.532340636273474,"(30, 0, 2)"
0,30,6,,,,,,,,,,,,,,,,0,42.61455150532503,"(30, 0, 2)"
0,30,7,,,,,,,,,,,,,,,,0,42.720018726587654,"(30, 0, 2)"
0,30,8,,,,,,,,,,,,,,,,0,42.8485705712571,"(30, 0, 2)"
0,30,9,,,,,,,,,,,,,,,,0,43.0,"(30, 0, 2)"
0,30,10,,,,,,,,,,,,,,,,0,43.174066289845804,"(30, 0, 2)"
0,30,11,,,,,,,,,,,,,,,,0,43.37049688440288,"(30, 0, 2)"
